Voucher Type;Voucher No;Voucher Date;Account;Posting 1;Posting 2;Posting 3;Posting 4;Posting 5;Period Start;No of Periods;Subledger No;Invoice Date;Invoice No;OCR;Due Date;Text;TaxRule;Amount
AR;202298000;20250801;1530;;;;;;;;P181622;20250801;552508352641850;552508352641850;20250815;;;50
AR;202298000;20250801;1530;;;;;;;;P181622;20250801;552508352641959;552508352641959;20250815;;;50
AR;202298000;20250801;1530;;;;;;;;P141373;20250801;552508352641652;552508352641652;20250815;;;287
AR;202298000;20250801;1530;;;;;;;;P078387;20250801;552508352641553;552508352641553;20250815;;;287
AR;202298000;20250801;1530;;;;;;;;P092893;20250801;552508352641454;552508352641454;20250815;;;287
AR;202298000;20250801;1530;;;;;;;;P142984;20250801;552508352641355;552508352641355;20250815;;;287
AR;202298000;20250801;1530;;;;;;;;P127808;20250801;552508352641751;552508352641751;20250815;;;215
AR;202298000;20250801;2970;;;;;;;;;;;;;;;-1463
AR;202298001;20250804;1530;;;;;;;;P070980;20250804;552508352642353;552508352642353;20250818;;;620
AR;202298001;20250804;1530;;;;;;;;P062977;20250804;552508352642759;552508352642759;20250831;;;3028
AR;202298001;20250804;1530;;;;;;;;P141507;20250804;552508352642452;552508352642452;20250818;;;155
AR;202298001;20250804;1530;;;;;;;;P139709;20250804;552508352642056;552508352642056;20250818;;;452
AR;202298001;20250804;1530;;;;;;;;P148939;20250804;552508352642254;552508352642254;20250818;;;569
AR;202298001;20250804;1530;;;;;;;;P212101;20250804;552508352642858;552508352642858;20250831;;;2624
AR;202298001;20250804;1530;;;;;;;;P196298;20250804;552508352642957;552508352642957;20250831;;;2694
AR;202298001;20250804;1530;;;;;;;;P209266;20250804;552508352642155;552508352642155;20250818;;;323
AR;202298001;20250804;1530;;;;;;;;P073744;20250804;552508352642650;552508352642650;20250818;;;258
AR;202298001;20250804;1530;;;;;;;;P007208;20250804;552508352642551;552508352642551;20250819;;;6201
AR;202298001;20250804;2970;;;;;;;;;;;;;;;-16924
AR;202298002;20250805;1530;;;;;;;;P186031;20250805;552508352643450;552508352643450;20250819;;;187
AR;202298002;20250805;1530;;;;;;;;P124907;20250805;552508352643658;552508352643658;20250819;;;149
AR;202298002;20250805;1530;;;;;;;;P213134;20250805;552508352643351;552508352643351;20250831;;;3637
AR;202298002;20250805;1530;;;;;;;;P086727;20250805;552508352643054;552508352643054;20250806;;;4008
AR;202298002;20250805;1530;;;;;;;;P210874;20250805;552508352643559;552508352643559;20250831;;;2756
AR;202298002;20250805;1530;;;;;;;;P103028;20250805;552508352643856;552508352643856;20250820;;;838
AR;202298002;20250805;1530;;;;;;;;P213130;20250805;552508352643153;552508352643153;20250831;;;2753
AR;202298002;20250805;1530;;;;;;;;P213133;20250805;552508352643252;552508352643252;20250831;;;2590
AR;202298002;20250805;1530;;;;;;;;P074767;20250805;552508352643757;552508352643757;20250819;;;348
AR;202298002;20250805;2970;;;;;;;;;;;;;;;-17266
AR;202298003;20250806;1530;;;;;;;;F024181;20250806;552509352645552;552509352645552;20250831;;;32511
AR;202298003;20250806;1530;;;;;;;;F024181;20250806;552510352645659;552510352645659;20250930;;;32511
AR;202298003;20250806;1530;;;;;;;;F024181;20250806;552511352645756;552511352645756;20251031;;;32511
AR;202298003;20250806;1530;;;;;;;;F024181;20250806;552512352645853;552512352645853;20251130;;;32511
AR;202298003;20250806;1530;;;;;;;;P196298;20250806;552508352645950;552508352645950;20250831;;;337
AR;202298003;20250806;2970;;;;;;;;;;;;;;;-130381
AR;202298004;20250807;1530;;;;;;;;P125969;20250807;552508352646255;552508352646255;20250821;;;172
AR;202298004;20250807;1530;;;;;;;;P101448;20250807;552508352646057;552508352646057;20250821;;;643
AR;202298004;20250807;1530;;;;;;;;P213378;20250807;552508352646354;552508352646354;20250831;;;2756
AR;202298004;20250807;1530;;;;;;;;P213405;20250807;552508352646651;552508352646651;20250831;;;2595
AR;202298004;20250807;1530;;;;;;;;P209338;20250807;552508352646453;552508352646453;20250831;;;2880
AR;202298004;20250807;1530;;;;;;;;P213386;20250807;552508352646552;552508352646552;20250831;;;2590
AR;202298004;20250807;1530;;;;;;;;P204764;20250807;552508352646156;552508352646156;20250821;;;632
AR;202298004;20250807;2970;;;;;;;;;;;;;;;-12268
AR;202298005;20250808;1530;;;;;;;;P097302;20250808;552508352647055;552508352647055;20250809;;;2361
AR;202298005;20250808;1530;;;;;;;;P097302;20250808;552508352647352;552508352647352;20250831;;;2528
AR;202298005;20250808;1530;;;;;;;;P211550;20250808;552508352647253;552508352647253;20250820;;;2326
AR;202298005;20250808;1530;;;;;;;;P118550;20250808;552508352646859;552508352646859;20250822;;;528
AR;202298005;20250808;1530;;;;;;;;P158813;20250808;552508352647154;552508352647154;20250822;;;220
AR;202298005;20250808;1530;;;;;;;;P129301;20250808;552508352646750;552508352646750;20250822;;;385
